SCC,SC,Total,Pro1-1,Pro1-2,Pro1-3,Pro2,Pro3
120173,EkgadRaABq,206,12,11,8,16,5
120174,RqjlTHZnTB,57,4,3,4,16,
120175,cbkwbjpvTm,65,3,,2,4,
120176,AmIVLiJIYR,42,24,6,17,20,8
120177,CeyPDbdVKV,118,3,4,5,8,1
120178,mOBFRHoWod,100,3,2,1,4,1
120179,MXKvGkoArh,162,16,10,16,32,1
120180,aKTAWKXIOr,214,19,9,9,17,1
120181,ZjwysggZYO,150,11,3,4,3,1
120182,tmIlVMkyNO,144,16,7,7,11,6
120183,KOgiuqsYCu,59,5,3,2,5,1
120184,twxRodAinK,166,10,2,5,59,2
120185,yLaEIKwdTx,114,2,1,1,,
120186,MTVeKdgDFL,207,11,2,6,25,
120187,QjRzURKwKB,257,6,3,7,8,
120188,HEpLBcuzNq,162,8,4,2,1,
120189,ZItcZeKYma,158,32,30,15,100,11
120190,gqFChEVfbg,121,12,6,9,20,3
120191,sRlwhyepwg,138,4,5,5,7,
120192,QblyDjWbRE,191,15,15,10,22,4
120193,aSCEGzPxvB,181,5,3,3,9,
120194,BUHqYvfhaQ,283,13,7,8,17,
120195,NtldVAsPqx,130,19,7,9,24,4
120196,OJqXfbZIih,221,16,20,14,87,2
120197,vXzMNMhhhr,152,7,6,8,29,6
120198,JVCoEfoVqD,3,,2,1,1,
120199,fuZMHvuGQq,89,1,2,3,10,1
120200,HNamDEYSuR,110,28,8,18,38,14
120201,pzQXVvRWTY,180,23,22,16,65,8
120202,eXbYtlUjsO,37,,,1,5,1
120203,rMlUVQazZQ,200,24,17,9,78,2
120204,iFnCHyieSi,156,12,6,2,11,2
120205,LYksojbJBP,101,4,4,8,36,2
120206,IrgMmowYCb,77,7,4,4,21,2
120207,JeTDSdQMYr,66,1,2,1,7,1
120208,gZOjsGENqF,134,6,4,3,5,
120209,kNvYRFoYtn,155,11,8,9,38,6
120210,gRizwhqprr,142,11,3,8,39,2
120211,aHuxyeovhu,162,8,4,6,7,1
120212,qlTGOUhLHp,108,5,4,3,7,1
120213,OKaPWpKkSJ,104,10,9,6,21,1
120214,gOaWVAxfGg,156,8,8,4,45,
120215,hXaebvODmN,79,5,1,2,6,
120216,hOPzVkPcpz,135,7,,1,14,1
120217,eLdcaljmfY,171,17,7,13,47,4
120218,BJdRrHBNCU,176,3,3,3,18,1
120219,OpUJKriNFC,214,6,8,14,18,
120220,FIniXfCPXj,115,8,3,10,11,1
120221,IDbzqesRfN,148,17,6,6,12,
120222,VmJcvSMEGl,182,21,12,16,8,2
120223,jmKkDyBEXH,116,3,3,2,21,4
120224,gFNMsCaZsJ,58,3,2,3,10,
120225,OSfGFHjLPw,67,5,6,6,15,4
120226,YgJDNSrARs,124,1,1,,3,
120227,fkDVfPAhXf,63,4,,,9,
120228,rqKGkZEtYr,137,3,1,1,23,
120229,AQwHixeekS,105,7,2,7,20,1
120230,CUSckOKSCX,136,5,3,4,23,1
120231,GZYlxvXise,105,5,4,6,16,1
120232,ovCIFusLau,57,13,10,13,20,4
120233,MnsBYekCZI,8,,,,2,
120234,DvpzlcaLAr,127,8,13,7,21,2
120235,AIiZCKvTBI,170,20,8,8,20,
120236,HxQJXplLuA,149,16,7,9,48,2
120238,eHUkugROyn,107,10,7,8,18,
120239,qOshPyyPfE,151,13,9,7,46,6
120240,lxiYOYgWnT,253,38,16,20,28,1
120241,zVcjgqzXvI,101,4,11,8,9,1
120242,tBfkBBNXFQ,142,15,6,16,23,6
120243,wqTiCyaITw,187,12,11,7,25,2
120244,jVzRMPErIg,161,8,3,7,9,
120245,mbJdSWQapo,156,19,9,13,90,3
120246,tgBgBmmXQp,134,3,2,2,15,1
120247,McAEOtSFTm,100,3,2,6,7,
120248,cKXwOcGnGV,176,15,13,15,21,4
120249,BrUESTvrKL,237,18,13,11,25,4
120250,XoNzyplCPv,90,2,3,3,3,2
120251,XJrYVYrDdl,190,5,10,3,7,1
120252,BvFcvSztdm,14,1,1,,,
120253,PfIHslguDo,84,7,7,8,40,4
120254,TtptCcAHAA,132,3,4,6,10,
120255,QrJTcSIPMM,165,32,30,33,63,7
120256,RMGqaOmwIZ,129,4,1,6,9,1
120257,AOccETOdxZ,118,7,8,5,11,2
120259,vxoSCOzGgW,131,12,6,8,8,2
120260,zLQOAriUlq,106,32,13,14,76,12
120261,BwzAQMTrgU,171,5,1,3,19,
120262,QQANjWnZJz,197,21,16,16,48,7
120263,DnNpiNRNSr,220,37,28,35,70,17
120264,UKHGCbGcpC,61,4,4,4,4,
120265,miSsJgbmBP,100,6,4,4,25,3
120266,LqglTGzjDn,171,3,2,9,20,1
120267,oomTuGNbtO,128,9,5,6,13,
120268,zuhpFEhuPI,111,6,2,,3,
120269,ZyMGAlYLVj,169,11,11,12,19,4
120270,kAOdrWBgBQ,154,9,6,2,10,2
120271,esufPRbrSI,126,11,10,7,17,3
120272,iAHqTinnBi,40,,1,2,7,
120273,GvzEOJlVxH,4,,,,1,
120274,tJyoZcNSgv,38,17,6,7,22,4
120277,SUtlAgwaZO,55,8,8,3,13,2
120278,siSKpIFWeV,65,6,4,4,2,
120279,fJrWbwzbvb,3,,,,1,
120280,HqiZxVDBRl,5,1,,1,1,
120281,gMbiaEJepk,10,,,,,
120282,NQipDvkhWM,50,,,,2,
120283,bopddNpxbX,10,,,,,
120285,McYbluVlHb,48,4,2,2,10,1
120286,oIoUmOkOpI,6,2,4,3,3,1
120287,dOFgPCVavg,9,1,1,,1,
120288,BesIiFbqEf,42,,2,,3,
120289,mqUlkzbIcS,35,3,4,10,10,1
120290,XyxYyLWMtV,118,8,2,9,10,1
120291,oCfoRqvSQP,8,,2,,4,
120292,wFAEikRtBf,84,2,1,3,9,
120295,ujpsUTQzQp,52,18,15,17,31,3
120298,AvnLwiXiRL,89,13,20,26,26,5
120300,XwjDFnHBSz,58,11,9,7,33,5
120302,laYSPIaFeb,7,,,,1,
120303,YFRbUdYGfd,83,10,6,9,8,4
120304,QNqTwZXBpi,22,,,,,
120305,ZJBbSCRWif,4,,,1,1,
120307,yAafpxVnZp,21,3,1,,4,
120309,ZUUDveUTwN,33,5,4,5,5,2
120310,HuXBtATcCK,60,8,4,1,2,
120311,vClTXfcoeC,54,,5,3,4,1
120312,WzYNKsNFNa,56,1,2,6,20,2
120313,AuVlEywBwI,59,2,1,,2,
120314,bKCsMJkbvb,102,9,8,5,25,
120315,qHlPcDObpT,45,2,4,4,5,3
120316,lEVyxcVPkt,85,15,4,17,54,5
120317,etzSnSdaGr,6,,1,,1,
120318,yJkMNPsLOa,47,,1,,1,
120321,boGNpbTqua,80,6,3,1,5,
120323,psFQabMueh,21,1,,,,
120324,AKVdmogObE,41,,1,11,5,1
120326,ODzsPpsVnj,33,32,32,32,32,32
120327,zImBOpuZDE,14,9,1,5,5,1
120328,lqYdNPmMSa,52,3,3,1,5,
120329,fghfWuPVZO,26,9,1,5,2,1
120330,nvoLoRlkrt,82,1,2,17,16,
120332,AIKnIjrxxg,54,6,1,3,2,
120333,gUNWPKqljE,65,6,8,5,18,2
120334,pXaymdnooR,21,11,6,10,15,8
120337,VzEEkfvUxf,66,3,7,4,29,6
120338,VMdPFUonkB,39,6,5,4,18,1
120339,haEdNlbfzQ,23,,,,1,
120340,YzmJQGIDoz,46,1,,2,1,
120341,MfJfwnmFGn,7,,,,1,
120342,HFfCjBSIZB,31,8,3,4,4,1
120344,mCCzsRiFzJ,44,3,1,1,2,
120345,srogqnosXQ,96,9,15,26,48,10
120346,XZpVqblyyz,81,2,3,3,12,
120348,PtoOzCmYuO,54,1,1,2,6,
120351,aaPSrTWJMf,16,2,,,10,
120352,tQFUwqeUZE,6,,,,,
120353,bNaCOpTzTk,26,,2,,2,
120354,aRJIYUROeN,24,,,1,15,
120355,UCkYVImDGz,48,4,4,6,22,
120356,yhWzfEkFfb,29,8,7,3,20,4
120357,TRjppDfOfn,3,3,1,,2,
120358,iGBrATEDuE,148,,,9,8,1
120359,fIePtpeCLT,115,12,6,7,26,1
120360,yiCGKmdaax,88,,1,2,1,
120361,RjeVXuDaBQ,11,,1,2,1,
120362,OlBeQAJOKM,29,2,,,,
120363,nQyjhxBEtd,158,12,14,14,23,
120364,qFOpYhUxIS,7,,,,,
120366,NJDguxZKsk,5,,,1,,
120367,mqFdIhPUQx,12,,1,,2,
120368,ecAoelIfYT,9,1,1,2,1,1
120370,TCzfqjkVOV,52,8,5,11,15,1
120373,GIpjnXIBfr,4,,1,1,2,
120374,VkOGWMIZKu,53,1,7,4,7,1
120376,QPcBXVoWvy,106,5,4,6,8,1
120377,AFVNDwSDOp,167,12,21,18,41,5
120378,MkyCDICWbq,2,,,,,
120379,FiPAdddUuh,148,5,4,4,6,
120381,OimEmydoGu,104,17,5,8,33,
120383,iCWhWuSBeQ,6,,,,,
120385,hLVSOxXqbG,20,,,,,
120387,ZGxFsqFXyX,34,11,5,10,7,2
120388,pALyJeQHsw,52,18,11,7,27,1
120389,zidOQpFrPD,8,,,,,
120390,kxDAlENSkR,125,33,8,8,43,1
120391,mzYPiofVhe,24,2,2,2,19,
120392,FTemIkTyJi,146,8,3,7,44,1
120393,unSPXEkuLd,117,7,3,3,5,
120395,rRmVkBOZuh,105,5,3,11,14,
120396,DyBiAZZaSa,22,1,2,,2,
120397,lBpueKlZQX,93,2,5,1,1,
120398,bOJTXMDGJy,123,14,12,8,59,6
120400,HPpnyEEpKQ,49,15,4,3,15,1
120401,oUhqiPfqKt,188,7,4,6,15,2
120402,LTPrqiHkZs,4,,,1,2,
120403,SpriXKRVyM,109,23,12,22,55,5
120404,BvUZmBcNiH,50,1,1,2,2,
120405,jWmHbZjxou,17,1,,,,
120406,zLDJkCYjfS,41,4,2,3,6,
120408,VwDMeQsNxz,88,4,2,5,9,
120409,fDtMFjiKGd,10,1,1,,1,
120410,mxeiTJgDiM,46,2,8,6,4,
120411,eelJoycDEH,15,,,,,
120412,UUVVqlseZZ,97,15,4,4,1,
120413,bcAdyhDKnb,117,10,9,2,12,
120414,IktAaBCeSF,42,3,1,3,3,
120416,XzCIoWbbyi,50,18,17,17,20,2
120418,WRZHZrfSNM,11,,,,,
120420,LXpmhsHXLE,3,,,,,
120422,slDIdWaiAq,28,1,1,,2,
120423,BhQulBbfpB,72,5,5,5,8,
120424,tAaFqlgPxc,76,5,4,2,1,
120425,bORqlbYGbq,64,9,5,8,20,
120426,CSTlSacOev,6,,,2,1,
120429,ClTkJbjQUN,19,,,2,1,
120430,KDIFBsDsrb,12,1,2,,1,
120431,XSJnBwwIXp,32,4,3,4,7,2
120432,GiYGoipnSn,14,3,3,5,10,1
120434,ggnVpTfKVu,10,,,,5,
120435,srbGGaYpdy,13,,2,1,8,
120436,qsRiZjmrOe,98,13,8,4,24,1
120437,KcFYmlLUoT,110,41,28,10,71,25
120439,SYXeKWwBrC,43,4,7,4,3,1
120443,bLUJCowOBz,24,3,,6,6,
120445,ICQrqtxFVY,31,6,3,6,8,
120446,LPEjYtFnDy,20,1,1,1,2,
120447,ocxKEnklHu,3,,,,,
120448,JwRGiEXZGK,5,1,1,,,
120449,XVpGFcQHVH,36,2,5,1,15,
120451,gnWDQUeAuZ,25,,,,2,
120452,HOLPrvsXrW,40,1,1,,1,
120453,XGAFQRUCKI,28,9,,1,1,2
120454,dBkPzfICDG,58,10,5,6,8,1
120455,AEbNbpRKbA,104,4,6,10,38,1
120456,bVkNvRdkoA,92,4,8,6,9,5
120457,etbQwuqOSa,10,,,1,1,
120458,hgocyGctTt,106,1,3,4,8,
120459,DxypQJrvqc,77,5,1,6,3,1
120460,PfkluMHjlj,48,3,1,2,6,1
120461,iQgYilZVFm,65,9,3,5,13,2
120463,XwqxKxilTX,55,8,4,4,5,
120464,JCYWqKaTQW,55,4,1,3,5,
120466,mjrexnSZmW,11,1,1,3,1,
120467,GlWteKgDrV,44,2,2,2,1,
120468,fJANvpwdKA,126,5,6,3,8,
120470,grwIsHIDeX,87,14,7,2,30,
120471,FDHcnqJOsR,135,8,6,7,38,
120472,ESpIuRzDQX,51,28,15,7,22,5
120473,ybAYrxfvsJ,4,2,2,2,4,2
120474,wJkTUWzPHw,95,,2,2,32,1
120475,uFoPuQNRHE,87,9,10,4,29,2
120476,HAeRjkHOMn,107,5,2,6,11,
120478,XBrvPAwWwr,22,4,2,1,8,
120479,amZTpBcAeD,74,18,15,14,32,3
120480,yjlDDAArZk,89,38,13,8,44,10
120481,qBxdyKGJrD,140,6,,1,3,
120482,puhxhCXxVQ,13,,,1,2,
120483,oSBIizMgsm,16,1,2,2,1,
120484,OhtpMpucSN,33,10,7,3,8,
120485,SQpcfzmoFo,20,1,1,2,2,
120486,TNMpcdnYWW,61,3,1,1,5,
120487,XbzRgItWmy,11,2,1,,3,
120488,obRBFRuOpQ,2,,,,,
120489,xBZElozabg,53,1,2,3,1,
120490,uUAnphCOnA,22,,,,3,
120491,QxMKxBXNdX,14,2,,1,,
120493,LTyoxxjXmR,25,1,,,1,
120494,yHAHoOsguS,2,1,,,,
120495,dfIbYxBZnM,28,2,2,1,5,1
120499,hEuWgLltuC,51,12,11,6,42,7
120500,gADBIpnqWw,33,6,1,1,5,
120502,JMQfmxXdIh,8,3,,,7,
120503,oanIJXVnoW,200,12,1,4,15,2
120505,ieaVoWBWbQ,167,13,6,13,78,3
120507,jPCXYwbNXd,11,2,,1,3,
120508,FUIRnptMNQ,96,10,6,2,21,3
120511,kBzotZmmJW,65,2,3,5,8,1
120512,joRAvogowq,75,1,3,1,1,
120514,KqnQRExiRc,91,10,3,8,32,1
120515,XsGXttabyL,15,1,,1,2,
120518,NUPwxfUpXT,9,,,,,
120520,dHijDazJLW,90,11,1,3,8,
120521,RglJIGUiDP,6,,,,,
120522,rcHpWsiDCK,6,5,5,4,4,1
120523,nGjtqWmQcS,14,2,,3,4,2
120524,SxrQrtMEGE,69,9,6,8,18,3
120525,roOgjKfaMf,194,22,10,12,47,4
120526,dFUVjNpFpA,3,1,,1,3,
120530,XWdOCHbKix,71,15,22,16,35,12
120531,eYzgeVPzAH,7,,,,,
120532,wGXvGfKFpF,20,4,4,4,3,1
120533,JrEYSjQlzW,24,,,1,1,
120536,TiQvliJlEH,60,9,7,8,17,7
120537,nQpgeGwAnB,9,3,1,,5,1
120538,TaINgmhabL,45,3,6,6,11,1
120540,IPwTEtdjoA,69,18,9,4,20,1
120541,QZOBXOhkhT,7,2,,1,,
120543,inDZCHTSos,3,1,,,,
120544,RllfDCSIqT,29,,,5,,
120545,OmOBUdTkcd,72,7,5,3,8,
120546,VgpIJEAXAf,79,16,5,11,32,4
120550,QDLToXgxIV,6,1,,2,4,1
120551,LSfafXmrPu,1,1,,1,1,1
120552,BtOnAwlbZH,6,2,2,,1,
120553,lvigIlLunO,50,,2,9,10,
120556,APCnVzwZEG,16,,1,,1,
120557,iLqXizQRji,36,6,4,5,3,
120558,KNyioZlvzx,8,1,,,,
120560,wOftSnfslB,23,,1,,2,
120561,CskpzOgCzM,13,,1,2,2,
120562,aHkEhXHfpA,20,,,1,2,
120564,PjvgNuKMkX,21,,1,,,
120565,LvrgaFIWuU,10,,,,,
120566,DRNhEYAaPw,6,,,,2,
120567,YwqcblgWXQ,81,5,4,6,17,
120568,YGrbNhMNfw,74,10,5,6,6,2
120569,FlFfbAjIht,3,2,2,2,1,1
120571,XhMUrvLJuj,2,,1,1,1,1
120573,yUSLHaNnEb,23,7,3,5,9,1
120575,kLeHsucPIx,10,,,1,1,
120576,xfemTuhKqn,30,2,2,,9,1
120579,SLttAiOxxb,7,,,,,
120580,zZvDxzEeUr,25,13,10,4,10,2
120581,WNgaujbahM,10,1,,2,,
120582,iPQNmLLolX,7,1,,,,
120583,CSTXcpZwtk,16,3,,1,1,
120584,CQDMbGDchS,6,1,,,3,
120585,XVMTEqXsqU,70,,,,15,1
120587,FMPZBMimRI,11,1,1,,,
120588,PkISVNMBKE,21,2,4,2,14,
120589,rkUgCNfHzo,3,,,,,
120591,cOKOFscOQV,37,,1,,,
120592,WmVNALAFBn,2,2,1,2,2,1
120593,pSeWdJgpYQ,4,,,,,
120596,sKibsmRFaH,5,,,,,
120597,hdOooAYSZF,2,1,1,1,1,
120598,lHYQRDkAlE,2,1,1,,1,
120602,SYdbpgGFqN,1,,,,,
120605,lUbegoorjQ,1,1,1,1,,
120606,gDGGVunyfZ,8,1,1,,,
120607,vvPPDssmMb,92,5,4,6,10,4
120608,EiWAvCugdL,120,12,7,6,13,1
120609,bFslsGpZwJ,99,10,8,9,18,3
120610,eRmkYCAfsa,18,1,,,,
120611,wocHjjrecX,34,,,,1,
120614,VgZaZsMcMr,13,2,3,3,7,3
120615,nesGnMNRXL,46,18,2,2,31,2
120616,RrUaRrDMhi,60,3,1,2,46,
120617,yatlCWwnjo,59,3,2,1,2,2
120618,rtYKVEurLH,103,29,6,5,28,1
120619,nSNSMQuxvY,83,7,10,9,21,2
120620,TTjOnOJwHD,118,15,5,14,40,1
120621,sGXQWviuJk,29,5,3,2,16,
120622,FbrZKhjKtQ,65,3,1,2,2,
120623,AVCyscvBuJ,56,2,2,3,,
120624,qNbaSQYrzV,69,3,5,19,9,1
120625,qTuXlTDaMf,154,6,9,11,5,2
120626,gwrLUxyBRt,151,1,1,,2,
120627,JdAIJguELh,25,1,,,5,
120628,ewxyWpiVlt,178,6,6,5,6,2
120629,AXLYWmAPLf,1,,,,,
120630,IzSZCvZICq,89,6,,1,6,
120631,vtJwvOxLRh,131,12,7,8,10,1
120632,pKFeoXnGHF,2,1,,,,
120633,BdaQvrFHMo,9,,,,5,
120634,lwJXGeyySt,15,1,1,1,2,2
120635,wRHFOowzvx,1,,,,,
120636,feGOvsflkr,17,1,,4,14,
120638,lycHMJSUuy,34,2,,,4,1
120639,QpAPZDuKqw,10,,,,3,
120640,DFrYnRDqIf,14,3,2,,1,1
120641,hjjKWbBWrc,3,3,3,3,3,3
120642,DipfIMhOnm,94,1,,1,6,
120643,nsQVPeBiPl,86,17,7,5,14,3
120644,FcqUcIrhrm,12,,1,,,
120645,sEPdwbBbFa,27,2,1,1,1,
120646,ZfrUsrgPXc,2,,,,,
120647,UleUOxbaeF,24,,1,,1,
120649,wmFCBdaNgn,90,7,4,3,4,
120650,QEbjabWPEB,70,5,3,2,3,1
120651,gPHmnCNnOR,9,1,,,,
120652,WNBVHgRpgt,57,3,1,2,6,
120653,NuaeOqjaPZ,12,,,1,7,
120654,zSIvvbBMfX,102,31,13,16,52,18
120655,HuDBvgQEZx,18,1,1,,1,
120656,oSHTkwrskQ,59,4,6,3,20,
120657,CLLrEehsRS,23,,1,,,
120658,zxNXBxcMxV,6,1,,,1,
120660,OyZAzmtdVn,54,9,8,2,32,4
120661,UvlzrOtfRM,68,31,19,27,45,19
120662,mLRCrWRbgl,5,5,1,5,5,3
120663,FMZEiLjwET,36,2,,,,
120665,PKvLloozHR,40,4,,2,6,
120666,NVQGrPXPHL,32,1,1,1,2,
120671,mricKFcXsz,55,3,1,1,1,
120672,ZMOVLPodPh,26,2,2,1,4,2
120673,cRQPDuyflk,54,4,7,8,9,1
120674,pogYhhGbNI,25,1,1,1,2,1
120679,dRYqhGFIfw,36,6,4,3,9,2
120682,YQSOsTMfDi,20,2,5,6,9,3
120683,seQcpCJFTZ,3,2,,1,1,
120684,yJkNwWtRfm,13,,,2,2,1
120685,qiLVUUsNUh,15,2,,1,10,1
120686,IQrSXfpgFs,41,4,3,6,13,
120689,JMJsuZNZBu,81,,4,6,12,
120690,sghcdbtPZO,6,,,,1,
120691,zQnRYdtWti,8,,5,1,2,
120692,PHAdAaphFu,25,4,3,3,6,1
120693,eODOBvkWDf,38,6,9,5,11,2
120694,VtwLSRvRki,25,,,,1,
120695,DGFiiOxUQp,203,27,14,12,23,3
120696,wlZVsOhJHD,82,2,3,,4,
120698,sWNGPNTyUC,4,,,,1,
120705,wKdruFADGN,4,2,,1,,
120706,wiMOPPKjSb,16,,,,,
120712,yuctVfCdpk,3,1,,1,1,
120713,PUfCNxSzUj,1,,,,,
120716,gOsTmlRxQv,10,,1,1,3,
120717,ALFcJUyLgJ,242,33,14,8,47,12
120718,PIxKiBtTPC,4,3,2,2,1,
120719,mJpcZfUUjv,74,5,4,,3,
120720,LJZmSONvar,1,,,,,
120721,hkhmntqAdJ,31,6,3,5,5,
120722,ztBmemCQfs,80,17,21,12,13,1
120723,BNzqKyDVlN,137,8,7,9,19,
120727,gKUFPqCUam,174,6,8,9,22,1
120728,cFudLlCGqK,225,2,7,6,13,2
120729,pMThQnfLnJ,44,2,1,1,2,
120730,MnjLBtMweS,86,7,5,6,8,2
120731,AetSVkfZRk,70,1,2,2,1,1
120732,NZUbVpnYxK,2,1,1,1,1,
120733,kiXqcWIWqe,102,12,14,10,30,6
120734,XwXdYdUzHL,3,1,,1,1,
